film_name,osyear,release_year,duration,imdb_rating,imdb_votes,film_id
Unforgiven,1992,1992,130,8.2,390280,2ec120ec-af89-47c0-a5de-ee0f0789cf1b
The Crying Game,1992,1992,112,7.3,53289,1035b815-61a1-4381-bbee-4e2bfeff00b5
A Few Good Men,1992,1992,138,7.7,245903,87a4b35b-0e2f-4a81-8563-a30239451080
Howards End,1992,1992,142,7.4,30508,02cd0473-5c6d-4537-8e92-e3c081ff133c
Scent of a Woman,1992,1992,156,8.0,277333,9da93e60-2304-4bc0-86e7-e76094b38c1e
Schindlers List,1993,1993,195,8.9,1261563,cb4bf724-69a8-4c3a-9334-de33c424441e
The Fugitive,1993,1993,130,7.8,278006,51603e98-58cc-49a1-97ea-23a78ca69543
In the Name of the Father,1993,1993,133,8.1,165134,1bd29323-753e-4cad-83e9-1994cd8e5c05
The Piano,1993,1993,121,7.6,81749,d7abff59-adc3-4845-bf3d-77b1a109b731
The Remains of the Day,1993,1993,134,7.8,69613,c4058de8-5d1f-4a0c-afdf-6e15bcb0d865
Forrest Gump,1994,1994,142,8.8,1895991,f93d65fb-33ab-4b66-9367-a50edabc2d3e
Four Weddings and a Funeral,1994,1994,117,7.1,145046,7c08aab3-e45c-4ba4-ba1a-fd30a67a320d
Pulp Fiction,1994,1994,154,8.9,1900918,8fc72f03-3f8e-4fc6-9231-ef6474c20433
Quiz Show,1994,1994,133,7.5,66948,cf8b285f-bd11-4433-88c4-37c897fec130
The Shawshank Redemption,1994,1994,142,9.3,2452594,995644f5-255c-4564-a647-7d0c8ccc17bb
Braveheart,1995,1995,178,8.3,986016,67a299f8-aabe-4cde-b74e-e71136632ea3
Apollo 13,1995,1995,140,7.6,279684,e0087fa7-4e07-4eb8-9397-b678d99ce8cb
Babe,1995,1995,91,6.8,120428,188f9551-fd40-473e-99da-688378336384
The Postman (Il Postino),1995,1994,108,7.7,34974,866815ad-c00c-414c-9e9c-e75466ecbcb9
Sense and Sensibility,1995,1995,136,7.7,108657,da35eb21-3cf9-4381-a241-064db05f34ac
The English Patient,1996,1996,162,7.4,183677,30efb856-db60-4652-a757-97ae45337801
Fargo,1996,1996,98,8.1,641314,f85a45ca-740d-4a6f-9506-6c57321fe04d
Jerry Maguire,1996,1996,139,7.3,251072,a574b721-f78d-44b9-bdf0-8c016ee72064
Secrets & Lies,1996,1996,136,8.0,41079,93446faf-582d-405b-bb2c-e963732076ee
Shine,1996,1996,105,7.7,52751,a300b5d0-bde2-49d7-9456-ead55c4539a7
Titanic,1997,1997,194,7.8,1089044,e7dc77ed-e48d-4cc4-9951-64802f947ce2
As Good as It Gets,1997,1997,139,7.7,285908,336cbfef-4f00-4c5c-ab6a-6b42e217a150
The Full Monty,1997,1997,91,7.2,102282,7f31cb60-c7dd-42f0-9f70-a3134c3237f4
Good Will Hunting,1997,1997,126,8.3,896929,3020a81f-9d77-4d3a-91b5-bbd32cad2aff
L.A. Confidential,1997,1997,138,8.2,550162,3cd18a77-0296-46a5-b092-b8f85298bc3a
Shakespeare in Love,1998,1998,123,7.1,218538,fa9d4ada-fefc-4e5c-a485-799c66b69fc8
Elizabeth,1998,1998,124,7.4,95572,cbcd4555-61ac-4558-9360-76533048b8f1
Life Is Beautiful,1998,1997,116,8.6,649390,fcdabd53-1c8b-44fe-a359-d21c4b02b59b
Saving Private Ryan,1998,1998,169,8.6,1287001,fcdb5a05-a025-412c-ad43-5af72cb3a5a7
The Thin Red Line,1998,1998,170,7.6,179626,3f1dd2d1-b8d0-48f6-9a80-6ccf384c9887
American Beauty,1999,1999,122,8.3,1101496,393ea3e0-1e32-4c65-8401-e36ab93bf22c
The Cider House Rules,1999,1999,126,7.4,95629,3c4ca5f5-080c-4580-b976-cc524daaca09
The Green Mile,1999,1999,189,8.6,1198434,8cb5515b-b9e6-4091-8381-c399ea29d16c
The Insider,1999,1999,157,7.8,165522,2b4faadc-b2c8-4b62-81f4-434109efd8f2
The Sixth Sense,1999,1999,107,8.1,939659,21b54a15-eca1-4777-b01f-1ef88402d8ab
Gladiator,2000,2000,155,8.5,1393352,3e67a3b9-f24a-420b-b9f8-78870126e1df
Chocolat,2000,2000,121,7.2,183002,8886c9d4-e3e8-4471-a859-a3c7d9504b00
Crouching Tiger Hidden Dragon,2000,2000,120,7.8,259991,f7251c84-34bd-4799-8988-50a0814515d9
Erin Brockovich,2000,2000,131,7.4,184808,06d3d335-5b97-4d11-8c20-ef9b39fa1a07
Traffic,2000,2000,147,7.6,201093,50dc035c-aa8c-4ae7-b590-8de1202c6ae3
A Beautiful Mind,2001,2001,135,8.2,878511,69218a0a-fbd1-4a2b-a19b-fc194d43d435
Gosford Park,2001,2001,131,7.2,83531,50dff062-b330-46b8-b529-19794302e949
In the Bedroom,2001,2001,131,7.4,39427,af8027ac-3084-497a-b1e1-a5405213a6e3
The Lord of the Rings: The Fellowship of the Ring,2001,2001,178,8.8,1724755,c604e2a8-7845-420e-9d8f-b3919b637b67
Moulin Rouge!,2001,2001,127,7.6,273077,2b0fed46-3cba-42a0-805e-776d022c38c8
Chicago,2002,2002,113,7.2,221622,5ca65d3f-4b1e-4c9f-a629-06f111c3c7c2
Gangs of New York,2002,2002,167,7.5,418948,e70f19b1-f6f2-4a8e-81b5-d5f16c73f4ff
The Hours,2002,2002,110,7.5,127773,51a57b94-2340-408a-81aa-3f4a4acc841c
The Lord of the Rings: The Two Towers,2002,2002,179,8.7,1540135,8e3c29ae-fb18-4813-a3af-d2d8cb071954
The Pianist,2002,2002,150,8.5,766841,1ffecc42-aab2-4688-924e-dc759598b98e
The Lord of the Rings: The Return of the King,2003,2003,201,8.9,1703481,7591962a-1d5a-48dd-a362-8546b21ced73
Lost in Translation,2003,2003,102,7.7,431381,ed953088-38f9-43b3-beb3-f5f447de2ca1
Master and Commander: The Far Side of the World,2003,2003,138,7.4,210599,41879be1-9006-4484-a325-aa2cc29d2894
Mystic River,2003,2003,138,7.9,435337,45a52a04-0915-4a4d-8034-8fb1b2811258
Seabiscuit,2003,2003,140,7.3,70147,2f1c775f-7d85-41a3-9ab1-1e99cfae4b94
Million Dollar Baby,2004,2004,132,8.1,655679,a360a577-fb0b-4bd2-ae39-35fb5dbb3deb
The Aviator,2004,2004,170,7.5,344901,90b4e270-b686-4bf2-9fab-2b01b7aa3dd9
Finding Neverland,2004,2004,106,7.7,202139,19cc6810-a1c4-4d0d-a89a-d0d74c2755da
Ray,2004,2004,152,7.7,142545,2fbdbfe1-f830-4ddd-bd17-6648c2b9c9bb
Sideways,2004,2004,127,7.5,184511,c5601ba2-1104-46c1-8c61-74bc9fd90e73
Crash,2005,2004,112,7.7,426775,4585c429-08f0-4e20-8b9d-d6dcc8fcfbe1
Brokeback Mountain,2005,2005,134,7.7,337000,dd71a463-36f8-441f-926c-6f93f4ff9141
Capote,2005,2005,114,7.3,128822,258c1c0d-0b7d-4efb-b5a2-ba3b5d0baf88
Good Night and Good Luck,2005,2005,93,7.4,95865,0631e138-136e-49f5-b31f-0ad5674df13f
Munich,2005,2005,164,7.5,218462,fb74c6a2-d107-4507-bbf1-819e9daa27ae
The Departed,2006,2006,151,8.5,1235906,bc73e784-5ad5-45b4-a7b4-132f0ffade15
Babel,2006,2006,143,7.4,295061,03a8d27b-c5bd-4002-bf8e-df24cfd96c86
Letters from Iwo Jima,2006,2006,141,7.9,157732,7e651506-c75d-403b-9673-b4bc77a84ef2
Little Miss Sunshine,2006,2006,101,7.8,453506,16583578-4e99-4999-ab66-9de7d7efc495
The Queen,2006,2006,103,7.3,107000,348637e8-bc7c-4d44-8b01-7067023960dd
No Country for Old Men,2007,2007,122,8.1,896630,29a90339-c5f5-4022-8b33-ea349c4b1bd9
Atonement,2007,2007,123,7.8,261609,5b42aceb-a4cb-4897-a376-712e66946cea
Juno,2007,2007,96,7.4,502296,e41e7111-830b-46a2-93fb-1250a5554bbe
Michael Clayton,2007,2007,119,7.2,160164,25f1acab-c833-4f4d-ad57-1a283707fbda
There Will Be Blood,2007,2007,158,8.2,542278,41c2923e-f31c-47e4-9be8-e6a447a7d87e
Slumdog Millionaire,2008,2008,120,8.0,816485,04b5c110-03a9-43dd-ada0-9d5ec5a2b140
The Curious Case of Benjamin Button,2008,2008,166,7.8,611518,20341ee5-10fc-422f-80a8-2285d2a720c3
Frost/Nixon,2008,2008,122,7.7,105602,70d1eaaa-04ef-40fa-83eb-c76f9924538a
Milk,2008,2008,128,7.5,168756,206da0df-8b6f-4ca0-8ced-f05b683b63ae
The Reader,2008,2008,124,7.6,235605,2a998534-5479-42e2-bf17-fcf8fcdeab51
The Hurt Locker,2009,2008,131,7.5,433326,9b4177d0-0aaf-4921-ab28-50fa0b20affc
Avatar,2009,2009,162,7.8,1153124,62882251-9304-4fec-9fa3-b3d20f9574f5
The Blind Side,2009,2009,129,7.6,305982,7a30c0a9-58fa-41f7-90fd-f85a2c9979d1
District 9,2009,2009,112,7.9,653215,8f06e9f9-d006-4674-b3c1-62406652630a
An Education,2009,2009,100,7.3,131326,6651de34-a337-4395-8797-2f408016fafa
Inglourious Basterds,2009,2009,153,8.3,1326791,703f43ee-ac54-4db6-838b-9bb256ad85fc
Precious: Based on the Novel Push by Sapphire,2009,2009,110,7.3,107998,85eebe7c-8a46-4b99-a06f-67bae1254117
A Serious Man,2009,2009,106,7.1,137770,700a9b52-7949-432b-b650-6a190328e137
Up,2009,2009,96,8.2,971845,91050f20-1d70-445d-af55-9153f4477c66
Up in the Air,2009,2009,109,7.4,325743,079dec92-de45-4395-b058-de3943fb90ce
The Kings Speech,2010,2010,118,8.0,655187,ab6ff668-b31b-42b4-a406-468b3660562c
127 Hours,2010,2010,94,7.5,359243,8aa6ad71-a915-44d3-ad61-a57c83baaee9
Black Swan,2010,2010,108,8.0,721688,d8594332-3a1c-41c4-a4bb-95744b7cc77b
The Fighter,2010,2010,116,7.8,350469,6d10b167-cb37-4e7c-9636-6bdf993a3ed0
Inception,2010,2010,148,8.8,2160498,33289599-ab93-4631-922c-d0c5f1f652e7
The Kids Are All Right,2010,2010,106,7.0,127959,9772cfa2-5d7b-48eb-8f33-fd9d15087bc5
The Social Network,2010,2010,120,7.7,651516,05fad488-166b-4fcd-9b23-b97ba7c51007
Toy Story 3,2010,2010,103,8.2,783665,2c7866a2-f2a7-4409-b90d-022a083e8c04
True Grit,2010,2010,110,7.6,322030,86393a19-8f0b-4f28-b90f-9d953dfec999
Winters Bone,2010,2010,100,7.2,138998,d013a485-c112-4f45-8139-4fca7bfe388f
The Artist,2011,2011,100,7.9,235457,d200f517-17a4-4d43-8be6-2cf5d36d6bfa
The Descendants,2011,2011,115,7.3,236381,3674e560-49ce-4097-8249-b3329d12e09c
Extremely Loud & Incredibly Close,2011,2011,129,6.9,99514,a09a682d-a636-491f-a135-cef9b7628824
The Help,2011,2011,146,8.0,438666,d571a523-7282-4694-a8ce-5ca620f090ad
Hugo,2011,2011,126,7.5,312181,731143c6-6b60-4fb1-8564-6b86f5175893
Midnight in Paris,2011,2011,94,7.7,401524,343925fb-50f7-400d-ad63-70008718666e
Moneyball,2011,2011,133,7.6,389329,7b46b3b9-1924-4db8-a286-956320d88dfa
The Tree of Life,2011,2011,139,6.8,171734,cd62128e-0cf2-467d-a82a-4fb7c5d4d445
War Horse,2011,2011,146,7.2,151533,8511a59e-ed87-4bfb-8c72-588e85a3b8c7
Argo,2012,2012,120,7.7,588984,df2afe2f-24a3-4bef-bbbc-716e24c5c723
Amour,2012,2012,127,7.9,96258,96b5b091-519c-4924-8bc0-76acde8979c5
Beasts of the Southern Wild,2012,2012,93,7.3,82051,7b0b3303-0178-4978-a5d5-818ab2209cc2
Django Unchained,2012,2012,165,8.4,1420092,cca88b79-5fdc-40c6-845f-43c3421cbbee
Life of Pi,2012,2012,127,7.9,598436,e21da27c-6ce5-4de2-b31c-82bfafd8a585
Lincoln,2012,2011,118,7.3,223752,af47c834-a347-4036-991f-c192418f19dd
Les Misérables,2012,2012,158,7.6,317030,d7ede1ef-73aa-4ffe-8d0e-254b90588f95
Silver Linings Playbook,2012,2012,122,7.7,679022,c3b2fd62-298b-4692-afb8-ab18bdc11e80
Zero Dark Thirty,2012,2012,157,7.4,283119,cc2c5a6a-c66c-4d94-9dcd-2c588ffdb607
12 Years a Slave,2013,2013,134,8.1,662741,219ec9bd-2d5c-40c8-b914-bca2446ddcda
American Hustle,2013,2013,138,7.2,460918,4ca961d2-bac4-43ee-be0c-325348503edd
Captain Phillips,2013,2013,134,7.8,436364,8e3f5cbe-ba2c-4f7a-a557-030aa0eb3f44
Dallas Buyers Club,2013,2013,117,8.0,459404,15d6f774-4640-49dd-b1bf-f1e3454ee368
Gravity,2013,2013,91,7.7,789470,3b72ef21-a1a0-4bae-ac7d-62bbb2a8fb97
Her,2013,2013,126,8.0,565149,49a7e2c9-87c7-496f-b097-f30d641f6bbe
Nebraska,2013,2013,115,7.7,115031,fb0e0e48-dd1c-47a9-9c5a-e7617cd1f233
Philomena,2013,2013,98,7.6,96771,dd456cf6-adef-4ce6-98a9-5e59bbb27189
The Wolf of Wall Street,2013,2013,180,8.2,1257166,bdad64df-7778-4870-9d2f-f4aa2141388e
Birdman or (The Unexpected Virtue of Ignorance),2014,2014,119,7.7,599240,2a5cefcd-9f9e-481c-bcc3-721365d97672
American Sniper,2014,2014,133,7.3,455885,a1672fdb-9891-4606-9b46-4abc01e1790a
Boyhood,2014,2014,165,7.9,343822,d5061cf6-5575-416e-9b08-bed6c5a1e381
The Grand Budapest Hotel,2014,2014,99,8.1,741950,24db8875-b61e-4643-bda9-de2455d0f5e7
The Imitation Game,2014,2014,114,8.0,714452,e0336cbf-d6e0-4e6f-990f-854660d715dc
Selma,2014,2014,128,7.5,89059,89d620e7-a9dd-4247-96da-c019556a3cb0
The Theory of Everything,2014,2014,123,7.7,421764,82023c5d-f065-4616-bbab-970e84a58d8a
Whiplash,2014,2014,106,8.5,758911,883da4a2-c3e4-487b-a08c-94f2dff27125
Spotlight,2015,2015,129,8.1,440413,e8728900-9b21-4486-8a41-893439f118f3
The Big Short,2015,2015,130,7.8,387192,a0e57135-dbfa-44a9-9f12-e6d04c9cef45
Bridge of Spies,2015,2015,142,7.6,298091,01be4f89-7f33-44b5-84fb-74373c394649
Brooklyn,2015,2015,117,7.5,135972,f95ccdec-05e4-4df6-896c-24ffd29e32cb
Mad Max: Fury Road,2015,2015,120,8.1,922840,79fc5e5f-e53f-4bd2-8a92-154268114f49
The Martian,2015,2015,144,8.0,791919,72011778-43b2-4b5f-99e9-49226a306a20
The Revenant,2015,2015,156,8.0,738208,afc8d345-abee-4a78-bbf1-1d2271319e41
Room,2015,2015,118,8.1,391182,711a0fe6-003c-4234-b1e1-c192f2d7ab44
Moonlight,2016,2016,111,7.4,287563,194103bc-9dbe-4396-ad61-8370f887ce45
Arrival,2016,2016,116,7.9,629568,0e1f47b6-3fda-45b5-ae50-3b0077b16360
Fences,2016,2016,139,7.2,102639,27beb229-8515-4657-8a03-873b287d29f2
Hacksaw Ridge,2016,2016,139,8.1,464504,47d27cf4-2241-42eb-8776-d45b8f1a19ce
Hell or High Water,2016,2016,102,7.6,213325,fba9e12d-e725-4711-a502-2e369e554591
Hidden Figures,2016,2016,127,7.8,211233,3bfde6b3-4e9d-4411-a051-00eb89105a84
La La Land,2016,2016,128,8.0,534405,dd2fa2f2-4cbe-4fbe-888c-5cea6773809b
Lion,2016,2016,118,8.0,223804,6f62117a-ca4b-4f26-8b4d-bcff6d3ed0e8
Manchester by the Sea,2016,2016,137,7.8,260159,2d5bd667-6a86-4737-a069-3d875a29941b
The Shape of Water,2017,2017,123,7.3,391523,05e574cc-0583-419f-9300-257cf0c4d110
Call Me by Your Name,2017,2017,132,7.9,234177,324af136-4644-43f4-9302-000013843ec9
Darkest Hour,2017,2017,125,7.4,184502,097298e3-0a4c-42c9-b295-f7db341d29a0
Dunkirk,2017,2017,106,7.8,591901,d4bf0919-c2bd-4ab7-9b6f-ad4881444173
Get Out,2017,2017,104,7.7,526587,bdea345b-3abf-4be0-927e-6dd11c3718bd
Lady Bird,2017,2017,94,7.4,258867,fcda8ae3-1d27-4d2d-83c2-e9804ad6bcd7
Phantom Thread,2017,2017,130,7.5,119413,daf77b01-c9e3-4bfa-8a6d-57e07ba4c5ad
The Post,2017,2017,116,7.2,142630,b440a217-27a1-470b-b04e-c101d6cdf8be
Three Billboards Outside Ebbing Missouri,2017,2017,115,8.1,463268,60b0d783-fb20-4683-b1a0-269a7fe8020e
Green Book,2018,2018,130,8.2,422669,4dd226cc-dc68-40e7-a5b3-3b1bfff594f1
Black Panther,2018,2018,134,7.3,671956,23eb3d70-301d-4e30-955f-57acf8f650dd
BlacKkKlansman,2018,2018,135,7.5,240028,9b92d8a7-dc53-4219-bb2d-3812ba4048a6
Bohemian Rhapsody,2018,2018,134,7.9,482597,fecdf7d4-1af9-41ab-883c-9616cea28519
The Favourite,2018,2018,119,7.5,183744,789c5253-e33e-4862-9cd6-6795271af717
Roma,2018,2018,135,7.7,147705,1dc73d5e-4ae5-428e-a4f3-d465ffc9262d
A Star Is Born,2018,2018,136,7.6,354157,a8a00610-8b95-4d5f-b95e-128b6a2853ea
Vice,2018,2018,132,7.2,132014,27048415-ff2e-427e-a4de-5d2898a0812d
Parasite,2019,2019,132,8.6,651517,db1a7b9b-b141-4816-a78a-1ba660b98dba
1917,2019,2019,119,8.3,485648,e150fdb8-b54e-4411-9adf-ab4d2e3bcab0
Ford v Ferrari,2019,2019,152,8.1,331665,054dfed2-ce14-4c17-9bf2-fb228eaa78a3
The Irishman,2019,2019,209,7.8,349303,cf8fb1fa-1a2b-48bd-a241-c7e9d487c09d
Jojo Rabbit,2019,2019,108,7.9,335856,111025ab-00c2-490a-8921-f298fe1a6006
Joker,2019,2019,122,8.4,1056051,9988cdef-854b-4e3d-8dc4-19e8e8717b9b
Little Women,2019,2019,135,7.8,163410,6207f4ff-c6a8-4922-b48d-71b03a01bc96
Marriage Story,2019,2019,137,7.9,270304,4dfbadb9-b7f9-4c24-bbd8-5d55dce2c7c6
Once Upon a Time in Hollywood,2019,2019,161,7.6,628233,80060b63-3c4c-42c3-ab4f-4efee21776bd
Nomadland,2020,2020,107,7.4,123041,f04508ab-e957-49aa-908e-c1286123a493
The Father,2020,2020,97,8.3,89693,73e858b2-7b6e-48b4-80d6-960a992961f5
Judas and the Black Messiah,2020,2021,126,7.5,58996,cf55544c-fcaa-4b26-9773-52be27359d6f
Mank,2020,2020,131,6.9,65380,47d4ae4f-e782-4cd9-9508-4a07302b1c1a
Minari,2020,2020,115,7.5,57976,7262b3a8-214d-4205-985c-70e0860f3236
Promising Young Woman,2020,2020,113,7.5,122269,d64c669b-7a73-496a-bddb-19cb09264371
Sound of Metal,2020,2019,120,7.8,102807,647357e9-c067-46bd-aaeb-24d4344ec124
The Trial of the Chicago 7,2020,2020,129,7.8,156283,cecbca48-f19c-43f4-81d2-da130facda95
